method,step,x,v,u,actual_energy,predicted_energy,cap,unsafe
aggressive_black_box,0,-1.1057147637261517,0.46282885501274673,2.304,0.31727236395355324,0.34369161111491336,0.738,0
aggressive_black_box,1,-1.0131489927236024,0.8781034443872454,2.304,0.6358866691214926,0.5993917186618812,0.738,0
aggressive_black_box,2,-0.8375283038461533,1.2831607464916324,2.304,1.1342814872971143,1.0212028230366084,0.738,1
aggressive_black_box,3,-0.5808961545478268,1.6694115187712761,2.304,1.7924503132341545,1.5702087685559838,0.738,1
aggressive_black_box,4,-0.24701385079357158,2.0282719139075227,2.304,2.5803317243388837,2.196582350519323,0.738,1
aggressive_black_box,5,0.158640531987933,2.355011903278055,2.281303041846657,3.470075688121742,2.9103934852278956,0.738,1
aggressive_black_box,6,0.6296429126435441,2.4276039051368956,0.7508037210232987,3.7427554797637774,2.9035161760796675,0.738,1
aggressive_black_box,7,1.1151636936709233,2.2083989958773222,-0.914722068555526,3.2354217288837948,2.426142813224082,0.738,1
aggressive_black_box,8,1.5568434928463877,1.6736336284719053,-2.304,2.250648030654709,1.6493673028545182,0.738,1
aggressive_black_box,9,1.8915702185407688,1.0479868393135208,-2.304,1.618316175132907,1.297231918244819,0.738,1
aggressive_black_box,10,2.101167586403473,0.3821524366525053,-2.304,1.3791810306602008,1.2522930082353303,0.738,1
aggressive_black_box,11,2.177598073733974,-0.30078422746776035,-2.304,1.4906673941715667,1.469448349078643,0.738,1
aggressive_black_box,12,2.117441228240422,-0.9800465772774634,-2.304,1.9186112430104378,1.89668411823444,0.738,1
aggressive_black_box,13,1.9214319127849293,-1.6331635446694035,-2.304,2.645604164905203,2.46777542159733,0.738,1
aggressive_black_box,14,1.5947992038510486,-2.1701552637400394,-1.9510129301657988,3.4840022752236193,3.0512885964023857,0.738,1
aggressive_black_box,15,1.1607681511030408,-2.387834014119655,-0.441984538697622,3.769616050998578,3.0028511221693996,0.738,1
aggressive_black_box,16,0.6832013482791097,-2.2258046504664515,1.2035186481749238,3.1663935761173603,2.3350215686238758,0.738,1
aggressive_black_box,17,0.2380404181858194,-1.8475400018597616,2.304,2.1418770226484924,1.521280607678513,0.738,1
aggressive_black_box,18,-0.13146758218613297,-1.4474186316517001,2.304,1.3119804933076802,0.9158359092736699,0.738,1
aggressive_black_box,19,-0.420951308516473,-1.0431064689874034,2.304,0.7066244416483652,0.47412049411201573,0.738,0
aggressive_black_box,20,-0.6295726023139537,-0.6373308660431685,2.304,0.313323394744739,0.20058431862030218,0.738,0
aggressive_black_box,21,-0.7570387755225875,-0.2284201364381817,2.304,0.11857600535323426,0.09217588735375072,0.738,0
aggressive_black_box,22,-0.8027228028102238,0.1797368890935061,2.304,0.11684542803585726,0.12248292615586079,0.738,0
aggressive_black_box,23,-0.7667754249915226,0.584685568871798,2.304,0.30185244188497584,0.30766854945541666,0.738,0
aggressive_black_box,24,-0.6498383112171631,0.9815858365728946,2.304,0.6655376962091545,0.6268018350348439,0.738,0
aggressive_black_box,25,-0.45352114390258413,1.3669207663702279,2.304,1.1986474526538633,1.053298838209768,0.738,1
aggressive_black_box,26,-0.18013699062853855,1.732980756721108,2.304,1.881881339787446,1.6260992711822881,0.738,1
aggressive_black_box,27,0.16645916071568306,2.0699960774310555,2.304,2.682208648190398,2.2682362969116663,0.738,1
aggressive_black_box,28,0.5804583762018942,2.186264375982347,0.947225144340232,3.037884740031367,2.401112134094416,0.738,1
aggressive_black_box,29,1.0177112513983637,2.0443443632829483,-0.509700421928615,2.7674503509876507,2.0978860340734626,0.738,1
aggressive_black_box,30,1.4265801240549534,1.6646782219058878,-1.9110265083386695,2.1093112860411076,1.5767130085613026,0.738,1
aggressive_black_box,31,1.759515768436131,1.078682475577442,-2.304,1.4686517955869898,1.1564496479692334,0.738,1
hamiltonian_predictor,0,-1.1057147637261517,0.3206625729453634,1.2826905023894872,0.2476560743632597,0.2546913507258035,0.738,0
hamiltonian_predictor,1,-1.041582249137079,0.5740609191086459,1.2789153969372846,0.36870024903753296,0.36535403498321917,0.738,0
hamiltonian_predictor,2,-0.9267700653153498,0.8207379239475162,1.2699861967606463,0.549842125473242,0.5510240794441877,0.738,0
hamiltonian_predictor,3,-0.7626224805258466,1.0549744154633343,1.2566596709281588,0.7828458429718868,0.794096316898759,0.738,1
hamiltonian_predictor,4,-0.5516275974331797,1.2723568666977005,1.24416,1.0574514485829791,1.0594478431596914,0.738,1
hamiltonian_predictor,5,-0.29715622409363956,1.4772338544504608,1.24416,1.3771326861867417,1.374368669545014,0.738,1
hamiltonian_predictor,6,-0.001709453203547373,1.66169061295074,1.24416,1.7257602465649169,1.7010410879386453,0.738,1
hamiltonian_predictor,7,0.3306286693866007,1.74374377396091,0.6631680728513714,1.9167987658202017,1.8874849723537426,0.738,1
hamiltonian_predictor,8,0.6793774241787827,1.7065688587793066,0.03908217987425871,1.8894688462696354,1.8502464710222815,0.738,1
hamiltonian_predictor,9,1.020691195934644,1.5662682926927363,-0.5029038536034841,1.6895193055529112,1.637953756937894,0.738,1
hamiltonian_predictor,10,1.3339448544731913,1.3330011799575558,-1.0159886561190345,1.4161617157895194,1.371605486555543,0.738,1
hamiltonian_predictor,11,1.6005450904647025,0.958336822075029,-1.24416,1.120847918056284,1.089471221752976,0.738,1
hamiltonian_predictor,12,1.7922124548797083,0.5372127639782085,-1.24416,0.9665252421585524,0.9613222012903788,0.738,1
hamiltonian_predictor,13,1.89965500767535,0.091313694001946,-1.24416,0.9496153403874478,0.9281393336400097,0.738,1
hamiltonian_predictor,14,1.917917746475739,-0.35928108814369686,-1.24416,1.0537017749384496,1.0434832900058657,0.738,1
hamiltonian_predictor,15,1.8460615288469997,-0.8075526636327031,-1.24416,1.2708899501686508,1.2594038141521344,0.738,1
hamiltonian_predictor,16,1.684550996120459,-1.2076169066145643,-1.0847335073365678,1.556407573639039,1.5275199305385498,0.738,1
hamiltonian_predictor,17,1.443027614797546,-1.4888634283425553,-0.6047465245757193,1.7768691766835685,1.7757515226751195,0.738,1
hamiltonian_predictor,18,1.145254929129035,-1.6117175716207075,0.00045314590115804517,1.822817208038878,1.7668292387608016,0.738,1
hamiltonian_predictor,19,0.8229114148048935,-1.563965737856046,0.5750977442228216,1.6303204977346828,1.5727473446268143,0.738,1
hamiltonian_predictor,20,0.5101182672336843,-1.4106906846573484,1.0668557786269421,1.282813226846711,1.233924013982966,0.738,1
hamiltonian_predictor,21,0.2279801303022146,-1.2115448669807496,1.24416,0.9251968439140186,0.8849440947040191,0.738,1
hamiltonian_predictor,22,-0.01432884309393534,-1.0018177934137398,1.24416,0.6273051043618957,0.6036658273843567,0.738,0
hamiltonian_predictor,23,-0.2146924017766833,-0.7845042864184694,1.2527470374188434,0.39156828373769104,0.3693388668554599,0.738,0
hamiltonian_predictor,24,-0.3715932590603772,-0.5600535461137262,1.2691103841606381,0.21674971659846662,0.20333424420229976,0.738,0
hamiltonian_predictor,25,-0.48360396828312247,-0.32843101072504133,1.280663086157109,0.10249775022454763,0.10088284195630988,0.738,0
hamiltonian_predictor,26,-0.5492901704281308,-0.09319029904292103,1.288984235198085,0.050685723596662895,0.049210204471285,0.738,0
hamiltonian_predictor,27,-0.567928230236715,0.14000237948863195,1.2924169848902693,0.0606317876190204,0.06067464658108081,0.738,0
hamiltonian_predictor,28,-0.5399277543389887,0.3718770705112653,1.2916792484975455,0.13016114421835684,0.13134549713676694,0.738,0
hamiltonian_predictor,29,-0.4655523402367356,0.597796627173921,1.2866291368831198,0.2558613518878076,0.25968421528522456,0.738,0
hamiltonian_predictor,30,-0.3459930148019514,0.8159673987503058,1.2773773186371682,0.4340834223333494,0.4448728770249532,0.738,0
hamiltonian_predictor,31,-0.18279953505189023,1.022144535276985,1.2657389123385536,0.6579995073751552,0.6536308668132412,0.738,0
fixed_nominal_certificate,0,-1.1057147637261517,0.14211205501274674,0.0,0.19601316842076313,0.1907728011310109,0.738,0
fixed_nominal_certificate,1,-1.0772923527236025,0.19322146985719119,0.0,0.19741790724412162,0.19120595528800705,0.738,0
fixed_nominal_certificate,2,-1.0386480587521643,0.243759196901244,0.0,0.19895505978865802,0.19622119755686668,0.738,0
fixed_nominal_certificate,3,-0.9898962193719154,0.2912419976398006,0.0,0.19999786701228517,0.20227196191646907,0.738,0
fixed_nominal_certificate,4,-0.9316478198439553,0.3338086539508404,0.0,0.19983778494079418,0.1955758902953763,0.738,0
fixed_nominal_certificate,5,-0.8648860890537872,0.37652699122194533,0.0,0.2008120515049701,0.1920211597212308,0.738,0
fixed_nominal_certificate,6,-0.7895806908093981,0.41361442394332537,0.0,0.2004387074035875,0.19217960699179426,0.738,0
fixed_nominal_certificate,7,-0.706857806020733,0.4459649707137698,0.0,0.1992501656297001,0.19601563413260217,0.738,0
fixed_nominal_certificate,8,-0.6176648118779791,0.4728989109099302,0.0,0.1969973354372127,0.19297522013591437,0.738,0
fixed_nominal_certificate,9,-0.523085029695993,0.49564165158667006,0.0,0.19458059648603496,0.19189333218018717,0.738,0
fixed_nominal_certificate,10,-0.423956699378659,0.5141773329955455,0.0,0.1921973485462145,0.1921686307452011,0.738,0
fixed_nominal_certificate,11,-0.3211212327795499,0.5274080133262972,0.0,0.18931733474677348,0.18447582786349703,0.738,0
fixed_nominal_certificate,12,-0.21563963011429046,0.5361466165759331,0.0,0.18663331405251207,0.18119011713277852,0.738,0
fixed_nominal_certificate,13,-0.10841030679910384,0.5396424457927429,0.0,0.18377165000627477,0.17346663073162372,0.738,0
fixed_nominal_certificate,14,-0.0004818176405552571,0.5384710631918654,0.0,0.18121946350659704,0.17344072691168094,0.738,0
fixed_nominal_certificate,15,0.10721239499781783,0.5299168547476311,0.0,0.1772315952371889,0.1759531053375284,0.738,0
fixed_nominal_certificate,16,0.21319576594734405,0.5177367867131001,0.0,0.17434997789018503,0.1717053473595012,0.738,0
fixed_nominal_certificate,17,0.31674312328996407,0.5014368231952873,0.0,0.17219823570783582,0.16252306367644934,0.738,0
fixed_nominal_certificate,18,0.41703048792902153,0.47803861662294184,0.0,0.16891273854358266,0.16441290015545276,0.738,0
fixed_nominal_certificate,19,0.5126382112536099,0.4523141671537773,0.0,0.1672872564756046,0.1641954935590626,0.738,0
fixed_nominal_certificate,20,0.6031010446843653,0.42128092949965235,0.0,0.16548314398996283,0.16648867808240186,0.738,0
fixed_nominal_certificate,21,0.6873572305842958,0.3875621731525011,0.0,0.16474676815215766,0.1615997127842061,0.738,0
fixed_nominal_certificate,22,0.7648696652147959,0.349520927257307,0.0,0.16410688983412391,0.1659011128855925,0.738,0
fixed_nominal_certificate,23,0.8347738506662573,0.30826127764686534,0.0,0.16391774182372423,0.1661263200619507,0.738,0
fixed_nominal_certificate,24,0.8964261061956303,0.2637843611392727,0.0,0.16402583281889282,0.16519742832019418,0.738,0
fixed_nominal_certificate,25,0.9491829784234849,0.21855199988320087,0.0,0.16499535938742332,0.16389546612319006,0.738,0
fixed_nominal_certificate,26,0.992893378400125,0.1283482134555082,-0.3114450613537168,0.158171379066385,0.1587482533033442,0.738,0
fixed_nominal_certificate,27,1.0185630210912267,0.0304305835987672,-0.29457284802460193,0.15619935695152395,0.1560154233077741,0.738,0
fixed_nominal_certificate,28,1.02464913781098,-0.05778295751312518,-0.2338919540325901,0.15957267220437,0.15814161949078195,0.738,0
fixed_nominal_certificate,29,1.013092546308355,-0.11204641902358545,0.0,0.16179997611783756,0.1572271404888179,0.738,0
fixed_nominal_certificate,30,0.990683262503638,-0.1595130155115935,0.0,0.16312075031422898,0.16156711178887118,0.738,0
fixed_nominal_certificate,31,0.9587806594013193,-0.2058317408948372,0.0,0.1643682439011789,0.1639716121582493,0.738,0
adaptive_calibrated_certificate,0,-1.1057147637261517,0.14211205501274674,0.0,0.19601316842076313,0.1909347860506421,0.738,0
adaptive_calibrated_certificate,1,-1.0772923527236025,0.19322146985719119,0.0,0.19741790724412162,0.1917269057987965,0.738,0
adaptive_calibrated_certificate,2,-1.0386480587521643,0.243759196901244,0.0,0.19895505978865802,0.19722288434543395,0.738,0
adaptive_calibrated_certificate,3,-0.9898962193719154,0.2912419976398006,0.0,0.19999786701228517,0.20391330252788792,0.738,0
adaptive_calibrated_certificate,4,-0.9316478198439553,0.3338086539508404,0.0,0.19983778494079418,0.19779459166137564,0.738,0
adaptive_calibrated_certificate,5,-0.8648860890537872,0.37652699122194533,0.0,0.2008120515049701,0.19498921256256857,0.738,0
adaptive_calibrated_certificate,6,-0.7895806908093981,0.41361442394332537,0.0,0.2004387074035875,0.19567863806827424,0.738,0
adaptive_calibrated_certificate,7,-0.706857806020733,0.4459649707137698,0.0,0.1992501656297001,0.20058990349749095,0.738,0
adaptive_calibrated_certificate,8,-0.6176648118779791,0.4728989109099302,0.0,0.1969973354372127,0.19826419508505685,0.738,0
adaptive_calibrated_certificate,9,-0.523085029695993,0.49564165158667006,0.0,0.19458059648603496,0.19774395081644927,0.738,0
adaptive_calibrated_certificate,10,-0.423956699378659,0.5141773329955455,0.0,0.1921973485462145,0.19877769715797058,0.738,0
