method,true_damping,one_step_rmse,model_energy_cap_violations,closed_loop_unsafe_steps,clean_success_rate,avg_return,final_goal_error
certificate,0.18,0.0008853849177356137,0,0,1.0,-2.151732443669218,0.0030868785578500664
certificate,0.08,0.0013742121077807794,0,0,1.0,-2.1262084930965695,0.0036524856764606705
certificate,0.02,0.00264015662721291,0,125,0.23333333333333334,-2.181813433714266,0.004278404088549624
certificate,0.0,0.0030726332418708467,3,287,0.0,-2.2675415118268294,0.003920406907450036
