method,one_step_rmse,model_energy_cap_violations,closed_loop_unsafe_steps,clean_success_rate,avg_return,final_goal_error
black_box,0.014521849279850505,1433,2545,0.0,-2.873841401793295,0.01685943861742443
hamiltonian,0.00577795246978476,406,1231,0.0,-3.0160785677472983,0.49665088994168544
certificate,0.0008853849177356137,0,0,1.0,-2.151732443669218,0.0030868785578500664
